media_id,status,amount
143747,CURRENT,70
143747,PLANNING,763
143747,COMPLETED,565
143747,DROPPED,6
143747,PAUSED,19
143749,CURRENT,22
143749,PLANNING,660
143749,COMPLETED,466
143749,DROPPED,3
143749,PAUSED,9
96019,CURRENT,263
96019,PLANNING,1919
96019,COMPLETED,643
96019,DROPPED,12
96019,PAUSED,99
143762,CURRENT,36
143762,PLANNING,635
143762,COMPLETED,344
143762,DROPPED,3
143762,PAUSED,12
143763,CURRENT,31
143763,PLANNING,665
143763,COMPLETED,344
143763,DROPPED,2
143763,PAUSED,3
143764,CURRENT,25
143764,PLANNING,625
143764,COMPLETED,296
143764,DROPPED,4
143764,PAUSED,3
100355,CURRENT,148
100355,PLANNING,2148
100355,COMPLETED,320
100355,DROPPED,8
100355,PAUSED,27
143775,CURRENT,20
143775,PLANNING,623
143775,COMPLETED,165
143775,DROPPED,4
143775,PAUSED,6
143776,CURRENT,19
143776,PLANNING,619
143776,COMPLETED,144
143776,DROPPED,2
143776,PAUSED,5
143778,CURRENT,27
143778,PLANNING,625
143778,COMPLETED,101
143778,DROPPED,3
143778,PAUSED,4
143780,CURRENT,17
143780,PLANNING,653
143780,COMPLETED,60
143780,DROPPED,3
143780,PAUSED,5
165881,CURRENT,19
165881,PLANNING,183
165881,COMPLETED,37
165881,DROPPED,0
165881,PAUSED,2
110415,CURRENT,31
110415,PLANNING,516
110415,COMPLETED,43
110415,DROPPED,4
110415,PAUSED,16
48161,CURRENT,183
48161,PLANNING,1885
48161,COMPLETED,325
48161,DROPPED,14
48161,PAUSED,75
6594,CURRENT,5514
6594,PLANNING,46965
6594,COMPLETED,42405
6594,DROPPED,2772
6594,PAUSED,5461
100995,CURRENT,117
100995,PLANNING,468
100995,COMPLETED,53
100995,DROPPED,20
100995,PAUSED,51
48162,CURRENT,30
48162,PLANNING,730
48162,COMPLETED,59
48162,DROPPED,4
48162,PAUSED,17
58075,CURRENT,64
58075,PLANNING,510
58075,COMPLETED,266
58075,DROPPED,16
58075,PAUSED,17
87161,CURRENT,51
87161,PLANNING,473
87161,COMPLETED,160
87161,DROPPED,9
87161,PAUSED,11
144028,CURRENT,3
144028,PLANNING,127
144028,COMPLETED,16
144028,DROPPED,0
144028,PAUSED,0
144029,CURRENT,5
144029,PLANNING,116
144029,COMPLETED,15
144029,DROPPED,0
144029,PAUSED,2
144030,CURRENT,2
144030,PLANNING,115
144030,COMPLETED,15
144030,DROPPED,0
144030,PAUSED,0
144031,CURRENT,2
144031,PLANNING,117
144031,COMPLETED,15
144031,DROPPED,0
144031,PAUSED,0
144032,CURRENT,3
144032,PLANNING,116
144032,COMPLETED,16
144032,DROPPED,0
144032,PAUSED,0
144033,CURRENT,3
144033,PLANNING,133
144033,COMPLETED,22
144033,DROPPED,0
144033,PAUSED,0
143838,CURRENT,69
143838,PLANNING,768
143838,COMPLETED,1285
143838,DROPPED,5
143838,PAUSED,18
